Title,Artist,Peak
uptown funk!,mark ronson featuring bruno mars,2015-01-17
party rock anthem,lmfao featuring lauren bennett & goonrock,2011-07-16
shape of you,ed sheeran,2017-01-28
closer,the chainsmokers featuring halsey,2016-09-03
girls like you,maroon 5 featuring cardi b,2018-09-29
we found love,rihanna featuring calvin harris,2011-11-12
old town road,lil nas x featuring billy ray cyrus,2019-04-13
somebody that i used to know,gotye featuring kimbra,2012-04-28
despacito,luis fonsi & daddy yankee featuring justin bieber,2017-05-27
rolling in the deep,adele,2011-05-21
sunflower (spider-man: into the spider-verse),post malone & swae lee,2019-01-19
without me,halsey,2019-01-12
call me maybe,carly rae jepsen,2012-06-23
blurred lines,robin thicke featuring t.i. + pharrell,2013-06-22
perfect,ed sheeran,2017-12-23
sicko mode,travis scott,2018-12-08
all about that bass,meghan trainor,2014-09-20
royals,lorde,2013-10-12
god's plan,drake,2018-02-03
moves like jagger,maroon 5 featuring christina aguilera,2011-09-10
happy,pharrell williams,2014-03-08
just the way you are,bruno mars,2010-10-02
rockstar,post malone featuring 21 savage,2017-10-28
tik tok,ke$ha,2010-01-02
see you again,wiz khalifa featuring charlie puth,2015-04-25
dark horse,katy perry featuring juicy j,2014-02-08
thrift shop,macklemore & ryan lewis featuring wanz,2013-02-02
one more night,maroon 5,2012-09-29
we are young,fun. featuring janelle monae,2012-03-17
that's what i like,bruno mars,2017-05-13
the hills,the weeknd,2015-10-03
all of me,john legend,2014-05-17
happier,marshmello & bastille,2019-02-16
shake it off,taylor swift,2014-09-06
one dance,drake featuring wizkid & kyla,2016-05-21
radioactive,imagine dragons,2013-07-06
sexy and i know it,lmfao,2012-01-07
someone like you,adele,2011-09-17
counting stars,onerepublic,2014-01-18
e.t.,katy perry featuring kanye west,2011-04-09
trap queen,fetty wap,2015-05-16
love yourself,justin bieber,2016-02-13
firework,katy perry,2010-12-18
give me everything,"pitbull featuring ne-yo, afrojack & nayer",2011-07-09
locked out of heaven,bruno mars,2012-12-22
love the way you lie,eminem featuring rihanna,2010-07-31
thinking out loud,ed sheeran,2015-01-31
sorry,justin bieber,2016-01-23
california gurls,katy perry featuring snoop dogg,2010-06-19
dynamite,taio cruz,2010-08-21
lucid dreams,juice wrld,2018-10-06
hello,adele,2015-11-14
work,rihanna featuring drake,2016-03-05
grenade,bruno mars,2011-01-08
"hey, soul sister",train,2010-04-10
i like it,"cardi b, bad bunny & j balvin",2018-07-07
wake me up!,avicii,2013-10-05
don't let me down,the chainsmokers featuring daya,2016-07-16
havana,camila cabello featuring young thug,2018-01-27
omg,usher featuring will.i.am,2010-05-15
bad guy,billie eilish,2019-08-24
fancy,iggy azalea featuring charli xcx,2014-06-07
can't feel my face,the weeknd,2015-08-22
wow.,post malone,2019-04-06
blank space,taylor swift,2014-11-29
cheap thrills,sia featuring sean paul,2016-08-06
some nights,fun.,2012-09-29
need you now,lady antebellum,2010-03-20
7 rings,ariana grande,2019-02-02
stay with me,sam smith,2014-08-16
can't hold us,macklemore & ryan lewis featuring ray dalton,2013-05-18
better now,post malone,2018-10-06
roar,katy perry,2013-09-14
rude,magic!,2014-07-26
"thank u, next",ariana grande,2018-11-17
sugar,maroon 5,2015-03-28
payphone,maroon 5 featuring wiz khalifa,2012-05-26
airplanes,b.o.b featuring hayley williams,2010-06-05
psycho,post malone featuring ty dolla $ign,2018-06-16
bodak yellow (money moves),cardi b,2017-10-07
watch me,silento,2015-07-18
can't stop the feeling!,justin timberlake,2016-05-28
cheerleader,omi,2015-07-25
bad romance,lady gaga,2009-12-05
stronger (what doesn't kill you),kelly clarkson,2012-02-18
what do you mean?,justin bieber,2015-09-19
nice for what,drake,2018-04-21
sucker,jonas brothers,2019-03-16
meant to be,bebe rexha & florida georgia line,2018-03-31
timber,pitbull featuring ke$ha,2014-01-18
take me to church,hozier,2014-12-20
hotline bling,drake,2015-10-24
heathens,twenty one pilots,2016-09-24
super bass,nicki minaj,2011-08-13
f**k you! (forget you),ceelo green,2011-03-05
panda,desiigner,2016-05-07
break your heart,taio cruz featuring ludacris,2010-03-20
in my feelings,drake,2018-07-21
wrecking ball,miley cyrus,2013-09-28
ho hey,the lumineers,2012-12-29
