danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.578,0.471,4,-7.27,1,0.0289,0.368,0,0.159,0.532,133.061,audio_features,4GiXBCUF7H6YfNQsnBRIzl,spotify:track:4GiXBCUF7H6YfNQsnBRIzl,https://api.spotify.com/v1/tracks/4GiXBCUF7H6YfNQsnBRIzl,https://api.spotify.com/v1/audio-analysis/4GiXBCUF7H6YfNQsnBRIzl,196707,4
0.704,0.854,10,-5.477,0,0.183,0.0185,0,0.148,0.688,92.988,audio_features,1zyqZONW985Cs4osz9wlsu,spotify:track:1zyqZONW985Cs4osz9wlsu,https://api.spotify.com/v1/tracks/1zyqZONW985Cs4osz9wlsu,https://api.spotify.com/v1/audio-analysis/1zyqZONW985Cs4osz9wlsu,242587,4
0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,audio_features,6cHZf7RbxXCKwEkgAZT4mY,spotify:track:6cHZf7RbxXCKwEkgAZT4mY,https://api.spotify.com/v1/tracks/6cHZf7RbxXCKwEkgAZT4mY,https://api.spotify.com/v1/audio-analysis/6cHZf7RbxXCKwEkgAZT4mY,338893,4
0.188,0.994,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.333,148.44,audio_features,2IjBPp2vMeX7LggzRN3iSX,spotify:track:2IjBPp2vMeX7LggzRN3iSX,https://api.spotify.com/v1/tracks/2IjBPp2vMeX7LggzRN3iSX,https://api.spotify.com/v1/audio-analysis/2IjBPp2vMeX7LggzRN3iSX,255667,4
0.63,0.764,2,-4.353,1,0.0275,0.363,0,0.125,0.631,112.098,audio_features,1tF370eYXUcWwkIvaq3IGz,spotify:track:1tF370eYXUcWwkIvaq3IGz,https://api.spotify.com/v1/tracks/1tF370eYXUcWwkIvaq3IGz,https://api.spotify.com/v1/audio-analysis/1tF370eYXUcWwkIvaq3IGz,193760,4
0.726,0.837,11,-7.223,0,0.0965,0.373,0.268,0.136,0.969,135.347,audio_features,5Z3nrC0JbJmXaOGiXTuNFk,spotify:track:5Z3nrC0JbJmXaOGiXTuNFk,https://api.spotify.com/v1/tracks/5Z3nrC0JbJmXaOGiXTuNFk,https://api.spotify.com/v1/audio-analysis/5Z3nrC0JbJmXaOGiXTuNFk,192720,4
0.365,0.922,1,-2.644,1,0.071,0.00285,0,0.321,0.29,77.25,audio_features,0iAdSLiQBIizTAiLUP7p5E,spotify:track:0iAdSLiQBIizTAiLUP7p5E,https://api.spotify.com/v1/tracks/0iAdSLiQBIizTAiLUP7p5E,https://api.spotify.com/v1/audio-analysis/0iAdSLiQBIizTAiLUP7p5E,89427,4
0.726,0.631,11,-8.136,0,0.0334,0.22,0,0.193,0.746,124.711,audio_features,6ej1QJ8eIYmhsyTlvgDajy,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,https://api.spotify.com/v1/tracks/6ej1QJ8eIYmhsyTlvgDajy,https://api.spotify.com/v1/audio-analysis/6ej1QJ8eIYmhsyTlvgDajy,239240,4
0.481,0.786,10,-5.654,1,0.0288,0.0538,0,0.0759,0.389,153.105,audio_features,3lRSz6HujrSy9b3LXg2Kq9,spotify:track:3lRSz6HujrSy9b3LXg2Kq9,https://api.spotify.com/v1/tracks/3lRSz6HujrSy9b3LXg2Kq9,https://api.spotify.com/v1/audio-analysis/3lRSz6HujrSy9b3LXg2Kq9,253640,4
0.647,0.324,7,-9.679,1,0.0377,0.354,0,0.115,0.344,124.213,audio_features,3pjnCLIHbRczUjenWOEo56,spotify:track:3pjnCLIHbRczUjenWOEo56,https://api.spotify.com/v1/tracks/3pjnCLIHbRczUjenWOEo56,https://api.spotify.com/v1/audio-analysis/3pjnCLIHbRczUjenWOEo56,314286,3
